LpId,LpTypeId,externalCameraId,x,y,Date,Hour,,,
10810602,1,LPR-HIK-MKZ-3,35.005095,32.040869,12/19/2023,42:47.1,,,No
11329903,1,LPR-HIK-MKZ-20,35.043621,31.896993,12/19/2023,45:04.2,,,No
1000963,1,LPR-HIK-JER-58-2,35.263174,31.783818,12/19/2023,00:54.8,,,No
11169003,1,LPR-HIK-JER-26,35.17698,31.87185,12/19/2023,47:28.5,,,No
10908901,4,35_81,35.040403,32.063814,12/19/2023,48:36.0,,,No
10908901,1,LPR-HIK-MKZ-3,35.005095,32.040869,12/19/2023,59:05.9,,,No
1019766,4,936_91,35.066837,32.28032,12/19/2023,02:39.4,,,No
10798302,1,LPR-HIK-JER-3,35.191073,31.72583,12/19/2023,02:53.5,,,No
10798302,1,LPR-HIK-JER-114,35.169831,31.70624,12/19/2023,05:23.6,,,No
1019766,1,LPR-HIK-MKZ-41,35.03873,32.2802,12/19/2023,06:27.1,,,No
10798302,4,86_901,35.15813,31.68419,12/19/2023,10:28.0,,,No
1022172,1,LPR-HIK-JER-6,35.2420857,31.808259,12/19/2023,12:17.1,,,No
10836602,1,LPR-HIK-JER-159,35.263855,31.783369,12/19/2023,29:35.3,,,No
1022172,1,LPR-HIK-JER-127,35.227695,31.862105,12/19/2023,32:35.7,,,No
11090503,1,LPR-HIK-JER-3,35.191073,31.72583,12/19/2023,35:51.3,,,No
1024168,1,LPR-HIK-JER-127,35.227695,31.862105,12/19/2023,42:44.1,,,No
11090503,4,86_901,35.15813,31.68419,12/19/2023,46:05.0,,,No
10836602,1,LPR-HIK-JER-13,35.19439,31.80083,12/19/2023,52:03.1,,,No
11090503,1,Site9WestRear1,35.11716428,31.65516009,12/19/2023,53:55.2,,,No
11090503,4,7112_91,35.116222,31.65517,12/19/2023,54:10.9,,,No
11090503,4,7112_92,35.116459,31.654854,12/19/2023,54:39.7,,,No
11090503,1,Site9WestRear2,35.11543204,31.65483172,12/19/2023,54:57.8,,,No
1024168,1,LPR-HIK-JER-133,35.22762,31.862441,12/19/2023,20:05.1,,,No
1004134,1,Site46611WestFront1,35.255702,31.854076,12/19/2023,14:28.4,,,No
1077013,1,LPR-HIK-JER-70,35.289782,31.784179,12/19/2023,20:54.2,,,No
