ishitId,ExternalCameraId,Name,cameraType,brigadeName,siteName,x,y,Source
7932,4138_91,ציר לבית עור אתחתא (9 מגה)(נתיקות),LPR,חטמר בנימין, מחסום בל ,35.104105,31.886365,נתיקות - הרכשה
11452,100_82,לכיוון ביר זית (5 מגה)(נתיקות),LPR,חטמר בנימין,ביר זית עליון,35.200024,31.982715,נתיקות - הרכשה
11453,100_81,לכיוון עטארה (9 מגה)(נתיקות),LPR,חטמר בנימין,ביר זית עליון,35.200024,31.982715,נתיקות - הרכשה
9396,129_90,ציר אדום - מרקם חיים בית סירא (9 מגה)(נתיקות),LPR,חטמר בנימין,בית סירא - שער קיפי,35.05569,31.89364,נתיקות - הרכשה
11446,215_91,מרקם חיים (5 מגה)(נתיקות),LPR,חטמר בנימין,בית עור אל פוקא,35.118402,31.8775,נתיקות - הרכשה
11427,81_81,מ\לכיוון כפר מלק 1 (5 מגה)(נתיקות),LPR,חטמר בנימין,בעל חצור,35.2942,31.979,נתיקות - הרכשה
11428,81_82,מ-לכיוון כפר מלק 2 (5 מגה)(נתיקות),LPR,חטמר בנימין,בעל חצור,35.2942,31.979,נתיקות - הרכשה
12000,126_91,הנוסעים לכיוון אל ג'יב (9 מגה)(נתיקות),LPR,חטמר בנימין,גבעון - משוקעת,35.1747579,31.8425206,נתיקות - הרכשה
12001,126_92,הנוסעים לכיוון בידו (9 מגה)(נתיקות),LPR,חטמר בנימין,גבעון - משוקעת,35.1747579,31.8425206,נתיקות - הרכשה
12567,1209_91,לכיוון ציר הגישה לרמאללה (PTZ-LPR)(נתיקות),LPR,חטמר בנימין,גג האוגדה,35.222387,31.925459,נתיקות - הרכשה
12568,101_91,מרקם חיים דיר דבואן (PTZ-LPR) (נתיקות),LPR,חטמר בנימין,דיר דבואן,35.246589,31.917753,נתיקות - הרכשה
11673,4224_84,יוצאים מחיזמא (3 מגה)(נתיקות),LPR,חטמר בנימין,חיזמא - צומת 12,35.251519,31.832044,נתיקות - הרכשה
11670,249_92,נוסעים לירושלים (3 מגה)(נתיקות),LPR,חטמר בנימין,חיזמא - צומת 12,35.2519787,31.832347,נתיקות - הרכשה
11671,249_91,נוסעים מירושלים (3 מגה)(נתיקות),LPR,חטמר בנימין,חיזמא - צומת 12,35.2519787,31.832347,נתיקות - הרכשה
11672,4224_83,נכנסים לחיזמא (3 מגה)(נתיקות),LPR,חטמר בנימין,חיזמא - צומת 12,35.251519,31.832044,נתיקות - הרכשה
12625,943_901,יציאה מרוואבי (9 מגה)(נתיקות),LPR,חטמר בנימין,כיכר רוואבי,35.192128,31.989443,נתיקות - הרכשה
13008,22_91,מגיעים מכיוון סילוואד (9 מגה) (נתיקות),LPR,חטמר בנימין,מוצב עפרה,35.261333,31.960354,נתיקות - הרכשה
13009,22_92,מגיעים מכיוון עין יברוד (5 מגה) (נתיקות),LPR,חטמר בנימין,מוצב עפרה,35.261333,31.960354,נתיקות - הרכשה
12477,LPR-HIK-JER-26,כ.443 מכחול (מחנה עופר),LPR,חטמר בנימין,מחנה עופר,35.17698,31.87185,משטרה - הרכשה
12377,1092_91,יציאה מירושלים מזרח (9 מגה)(נתיקות),LPR,חטמר בנימין,מחסום חיזמא ,35.252647,31.82838,נתיקות - הרכשה
12378,1092_92,כניסה לירושלים מערב (5 מגה)(נתיקות),LPR,חטמר בנימין,מחסום חיזמא ,35.252542,31.82848,נתיקות - הרכשה
12958,LPR-HIK-JER-30,מעבר חיזמא 437 מאדום 2,LPR,חטמר בנימין,מחסום חיזמא ,35.251445,31.827916,משטרה - הרכשה
