IshitId,ExternalCameraId,cameraType,Source,Name,IsDeleted,LastUpdateDate,folderName,siteName,brigadeName,x,y
12302,LPR-HIK-MKZ-13-1,LPR,משטרה - הרכשה,"מעבר צופים 107 מאדום ",0,2023-10-16 20:05:42.032,עין הנץ,מעבר צופים,חטמר אפרים,34.99948,32.19326
12305,LPR-HIK-MKZ-14-2,LPR,משטרה - הרכשה,מעבר צופים 107 מאדום צילום אחורי,0,2023-06-28 14:18:05.430,עין הנץ,מעבר צופים,חטמר אפרים,34.99948,32.19326
12304,LPR-HIK-MKZ-14-1,LPR,משטרה - הרכשה,"מעבר צופים 107 מכחול ",0,2023-10-16 20:05:48.980,עין הנץ,מעבר צופים,חטמר אפרים,34.99948,32.19326
12303,LPR-HIK-MKZ-13-2,LPR,משטרה - הרכשה,מעבר צופים 107 מכחול צילום אחורי,0,2023-06-28 14:17:50.951,עין הנץ,מעבר צופים,חטמר אפרים,34.99948,32.19326
13064,6475_81,LPR,NULL,רנתיס - מאדום לכחול נתיב ימני,0,2024-06-03 08:55:16.360,נתיקות(9 מגה),מעבר רנתיס - מעבר חכם,חטמר אפרים,35.0070451591482,32.0400380287564
13065,6475_82,LPR,NULL,רנתיס - מאדום לכחול נתיב שמאלי,0,2024-06-03 08:55:26.704,נתיקות(9 מגה),מעבר רנתיס - מעבר חכם,חטמר אפרים,35.007045,32.040038
11789,LPR-HIK-MKZ-3,LPR,משטרה - הרכשה,מעבר שילה-רנטיס מאדום,0,2023-09-11 10:08:16.206,עין הנץ,מעבר שילה-רנטיס,חטמר אפרים,32.040287,35.006268
11788,LPR-HIK-MKZ-2,LPR,משטרה - הרכשה,מעבר שילה-רנטיס מכחול,0,2022-08-09 15:44:10.859,עין הנץ,מעבר שילה-רנטיס,חטמר אפרים,35.006268,32.040287
12579,203_901,LPR,נתיקות - הרכשה,לכיוון המרקם חיים (3 מגה) (נתיקות),0,2023-12-31 11:48:39.456,מצלמות נתיקות,מרקם חיים שוקבא,חטמר אפרים,35.0472438492945,31.980616941068
11666,185_81,LPR,נתיקות - הרכשה,ציר הכניסה מרנתיס (5 מגה)(נתיקות),0,2023-09-12 16:51:02.209,מצלמות נתיקות,"מתג 30 - רנתיס ",חטמר אפרים,35.0132,32.0354
11667,185_82,LPR,נתיקות - הרכשה,ציר הנסיעה לכיוון בית אריה\חלמיש (5 מגה)(נתיקות),0,2023-09-12 16:51:22.790,מצלמות נתיקות,"מתג 30 - רנתיס ",חטמר אפרים,35.0132,32.0354
11641,199_93,LPR,נתיקות - הרכשה,כניסה לעזון (9 מגה)(נתיקות),0,2023-09-12 14:54:49.077,נבי אליאס מזרח 3,"נבי אליאס מזרח ",חטמר אפרים,35.029773,32.184349
11643,199_91,LPR,נתיקות - הרכשה,מ\לכיוון נבי אליאס (5 מגה)(נתיקות),0,2023-09-12 14:51:41.368,נבי אליאס מזרח 3,"נבי אליאס מזרח ",חטמר אפרים,35.029773,32.184349
11642,199_92,LPR,נתיקות - הרכשה,מכיוון עזון (5 מגה)(נתיקות),0,2023-09-12 14:56:10.840,נבי אליאס מזרח 3,"נבי אליאס מזרח ",חטמר אפרים,35.029773,32.184349
11640,9187_91,LPR,נתיקות - הרכשה,ממזרח למערב (9 מגה)(נתיקות),0,2023-09-12 14:51:41.368,נבי אליאס מזרח 1,"נבי אליאס מזרח ",חטמר אפרים,35.03019,32.183328
11639,0190_91,LPR,נתיקות - הרכשה,ממערב למזרח (9 מגה)(נתיקות),0,2023-11-08 10:51:23.062,נבי אליאס מזרח 2,"נבי אליאס מזרח ",חטמר אפרים,35.031223,32.183635
9385,0166_91,LPR,נתיקות - הרכשה,לכיוון מעבר אליהו (5 מגה)(נתיקות),0,2023-11-08 10:53:15.068,נבי אליאס מערב 2,"נבי אליאס מערב ",חטמר אפרים,35.01049,32.187153
9386,131_91,LPR,נתיקות - הרכשה,לכיוון עזון (5 מגה)(נתיקות),0,2023-11-08 10:52:30.038,נבי אליאס מערב 3,"נבי אליאס מערב ",חטמר אפרים,35.012236,32.187282
9388,120_92,LPR,נתיקות - הרכשה,מנבי אליאס לכיוון ציר שחפים (5 מגה)(נתיקות),0,2023-09-12 15:00:22.525,נבי אליאס מערב 1,"נבי אליאס מערב ",חטמר אפרים,35.011358,32.186824
