LpId,LpTypeId,externalCameraId,x,y,Date,Hour
10908901,4,35_81,35.040403,32.063814,2023-12-19,09:48:36.044
10908901,1,LPR-HIK-MKZ-3,35.005095,32.040869,2023-12-19,09:59:05.911
1019766,4,936_91,35.066837,32.28032,2023-12-19,10:02:39.416
10798302,1,LPR-HIK-JER-3,35.191073,31.72583,2023-12-19,10:02:53.496
10798302,1,LPR-HIK-JER-114,35.169831,31.70624,2023-12-19,10:05:23.574
1019766,1,LPR-HIK-MKZ-41,35.03873,32.2802,2023-12-19,10:06:27.101
10798302,4,86_901,35.15813,31.68419,2023-12-19,10:10:27.974
1022172,1,LPR-HIK-JER-6,35.2420857,31.808259,2023-12-19,10:12:17.112
10836602,1,LPR-HIK-JER-159,35.263855,31.783369,2023-12-19,10:29:35.319
1022172,1,LPR-HIK-JER-127,35.227695,31.862105,2023-12-19,10:32:35.669
11090503,1,LPR-HIK-JER-3,35.191073,31.72583,2023-12-19,10:35:51.313
1024168,1,LPR-HIK-JER-127,35.227695,31.862105,2023-12-19,10:42:44.084
11090503,4,86_901,35.15813,31.68419,2023-12-19,10:46:04.983
10836602,1,LPR-HIK-JER-13,35.19439,31.80083,2023-12-19,10:52:03.071
11090503,1,Site9WestRear1,35.1171642835436,31.6551600851793,2023-12-19,10:53:55.200
11090503,4,7112_91,35.116222,31.65517,2023-12-19,10:54:10.863
11090503,4,7112_92,35.116459,31.654854,2023-12-19,10:54:39.737
11090503,1,Site9WestRear2,35.1154320359313,31.6548317195605,2023-12-19,10:54:57.812
1024168,1,LPR-HIK-JER-133,35.22762,31.862441,2023-12-19,11:20:05.141
1004134,1,Site46611WestFront1,35.255702,31.854076,2023-12-19,17:14:28.415
1077013,1,LPR-HIK-JER-70,35.289782,31.784179,2023-12-19,11:20:54.247
1024168,1,LPR-HIK-JER-130-1,35.221492,31.860571,2023-12-19,11:24:07.370
1004134,4,249_92,35.2519787,31.832347,2023-12-19,17:17:39.648
1077013,1,LPR-HIK-JER-38,35.261584,31.783971,2023-12-19,11:37:48.924
1077013,1,LPR-HIK-JER-126,35.263757,31.783185,2023-12-19,11:38:03.580
1015661,1,LPR-HIK-JER-130-1,35.221492,31.860571,2023-12-19,11:40:10.571
1077013,4,136_94,35.289894,31.767723,2023-12-19,11:42:25.964
11216701,1,LPR-HIK-JER-71,35.2897828,31.7841793,2023-12-19,11:47:17.525
1091539,1,LPR-HIK-JER-16,35.191218,31.800925,2023-12-19,11:48:43.963
1155634,1,LPR-HIK-JER-58-2,35.263174,31.783818,2023-12-19,11:49:28.087
11248501,1,LPR-HIK-JER-3,35.191073,31.72583,2023-12-19,11:49:46.749
11216701,1,LPR-HIK-JER-159,35.263855,31.783369,2023-12-19,11:50:10.753
1055532,4,9159_82,35.434536,32.328992,2023-12-19,11:51:45.654
10793HI,4,597_91,35.316457,32.119476,2023-12-19,11:51:56.287
11248501,1,LPR-HIK-JER-114,35.169831,31.70624,2023-12-19,11:52:39.123
10793HI,4,7111_91,35.349665,32.042729,2023-12-19,12:02:35.632
1098431,1,LPR-HIK-JER-16,35.191218,31.800925,2023-12-19,12:04:39.939
1137074,1,LPR-HIK-MKZ-7,34.998507,32.184376,2023-12-19,12:06:15.122
1137074,1,LPR-HIK-MKZ-8,34.99917,32.18477,2023-12-19,12:06:34.583
10750501,1,LPR-HIK-JER-51,35.111099,31.718702,2023-12-19,12:08:40.817
10750501,1,LPR-HIK-JER-121,35.119739,31.716478,2023-12-19,12:09:34.932
11159902,4,63_82,35.0596,32.1837,2023-12-19,12:10:59.955
11159902,1,LPR-HIK-SHY-9-2,35.051267,32.182495,2023-12-19,12:11:41.666
1024168,1,LPR-HIK-JER-28-1,35.224568,31.853262,2023-12-19,12:12:56.799
11329903,1,LPR-HIK-MKZ-57,35.0417981,31.8975318,2023-12-19,12:13:08.409
11159902,4,9187_91,35.03019,32.183328,2023-12-19,12:13:12.763
1048262,1,LPR-HIK-JER-70,35.289782,31.784179,2023-12-19,12:14:24.956
1048262,1,LPR-HIK-JER-159,35.263855,31.783369,2023-12-19,12:17:07.651
11464501,1,LPR-HIK-JER-3,35.191073,31.72583,2023-12-19,12:18:26.923
1002939,4,4140_82,35.445775,32.022748,2023-12-19,18:01:21.746
1139539,1,LPR-HIK-MKZ-252,35.00765,32.10786,2023-12-19,12:21:43.301
1002939,1,LPR-HIK-SHY-22-1,35.463311,32.046753,2023-12-19,18:03:34.121
1002939,4,9902_03,35.463069,31.908981,2023-12-19,18:03:45.138
11464501,1,LPR-HIK-JER-114,35.169831,31.70624,2023-12-19,12:22:09.170
1002939,4,9911_02,35.470212,32.054765,2023-12-19,18:04:38.200
1059388,1,LPR-HIK-JER-32-1,35.216183,31.860145,2023-12-19,12:24:11.001
11177501,1,LPR-HIK-JER-11,35.232735,31.723975,2023-12-19,12:24:48.413
1091539,1,LPR-HIK-JER-130-2,35.221492,31.860571,2023-12-19,12:24:59.740
